Model,Normalized_Layer,Effective_Rank
TinyLlama,0.0,115.15623474121094
TinyLlama,0.045454545454545456,144.22457885742188
TinyLlama,0.09090909090909091,166.94044494628906
TinyLlama,0.13636363636363635,65.40157318115234
TinyLlama,0.18181818181818182,89.54232025146484
TinyLlama,0.2272727272727273,109.36711120605469
TinyLlama,0.2727272727272727,128.1903839111328
TinyLlama,0.3181818181818182,148.41726684570312
TinyLlama,0.36363636363636365,139.1013946533203
TinyLlama,0.4090909090909091,174.56784057617188
TinyLlama,0.4545454545454546,201.1028289794922
TinyLlama,0.5,225.59927368164062
TinyLlama,0.5454545454545454,262.6025085449219
TinyLlama,0.5909090909090909,284.18890380859375
TinyLlama,0.6363636363636364,299.9605407714844
TinyLlama,0.6818181818181819,307.283203125
TinyLlama,0.7272727272727273,333.2856750488281
TinyLlama,0.7727272727272727,344.177978515625
TinyLlama,0.8181818181818182,357.8213806152344
TinyLlama,0.8636363636363636,358.8250427246094
TinyLlama,0.9090909090909092,365.9248962402344
TinyLlama,0.9545454545454546,373.3121032714844
TinyLlama,1.0,383.964111328125
GPT2-XL,0.0,232.4232940673828
GPT2-XL,0.020833333333333332,171.108642578125
GPT2-XL,0.041666666666666664,156.7060546875
GPT2-XL,0.0625,155.4207305908203
GPT2-XL,0.08333333333333333,157.77584838867188
GPT2-XL,0.10416666666666666,160.62646484375
GPT2-XL,0.125,163.90000915527344
GPT2-XL,0.14583333333333331,167.50962829589844
GPT2-XL,0.16666666666666666,169.4575958251953
GPT2-XL,0.1875,167.58663940429688
GPT2-XL,0.20833333333333331,166.2076416015625
GPT2-XL,0.22916666666666666,166.74473571777344
GPT2-XL,0.25,169.20889282226562
GPT2-XL,0.2708333333333333,172.44664001464844
GPT2-XL,0.29166666666666663,177.45323181152344
GPT2-XL,0.3125,183.64134216308594
GPT2-XL,0.3333333333333333,190.92872619628906
GPT2-XL,0.35416666666666663,202.5543975830078
GPT2-XL,0.375,216.23704528808594
GPT2-XL,0.3958333333333333,227.05274963378906
GPT2-XL,0.41666666666666663,242.4221649169922
GPT2-XL,0.4375,254.26699829101562
GPT2-XL,0.4583333333333333,265.8218994140625
GPT2-XL,0.47916666666666663,273.1405029296875
GPT2-XL,0.5,279.37384033203125
GPT2-XL,0.5208333333333333,284.02984619140625
GPT2-XL,0.5416666666666666,289.7061462402344
GPT2-XL,0.5625,293.21087646484375
GPT2-XL,0.5833333333333333,295.4136047363281
GPT2-XL,0.6041666666666666,296.7964782714844
GPT2-XL,0.625,296.3069152832031
GPT2-XL,0.6458333333333333,297.5704650878906
GPT2-XL,0.6666666666666666,298.6656188964844
GPT2-XL,0.6875,298.5326232910156
GPT2-XL,0.7083333333333333,297.59967041015625
GPT2-XL,0.7291666666666666,295.7730407714844
GPT2-XL,0.75,294.0268249511719
GPT2-XL,0.7708333333333333,290.9101867675781
GPT2-XL,0.7916666666666666,287.84173583984375
GPT2-XL,0.8125,285.4772644042969
GPT2-XL,0.8333333333333333,282.7358703613281
GPT2-XL,0.8541666666666666,279.96417236328125
GPT2-XL,0.875,277.13641357421875
GPT2-XL,0.8958333333333333,272.6639709472656
GPT2-XL,0.9166666666666666,268.0266418457031
GPT2-XL,0.9375,264.7198181152344
GPT2-XL,0.9583333333333333,260.99151611328125
GPT2-XL,0.9791666666666666,255.80477905273438
GPT2-XL,1.0,320.96002197265625
