model,step,loss,accuracy,gate_rate
tgn,3200,0.057706069201231,1.0,0.02785606123507023
tgn,3250,0.13330435752868652,0.96875,0.030285704880952835
tgn,3300,0.03324485570192337,1.0,0.02839512936770916
tgn,3350,0.02309408411383629,1.0,0.025854775682091713
tgn,3400,0.0641036108136177,0.96875,0.02494276687502861
tgn,3450,0.0433456115424633,1.0,0.025482822209596634
tgn,3500,0.004089454188942909,1.0,0.03304564207792282
tgn,3550,0.020390143617987633,1.0,0.027151281014084816
tgn,3600,0.028786804527044296,1.0,0.026574760675430298
tgn,3650,0.09617969393730164,0.96875,0.027332715690135956
tgn,3700,0.07466383278369904,0.96875,0.026379546150565147
tgn,3750,0.08398455381393433,0.96875,0.025308091193437576
tgn,3800,0.004817706998437643,1.0,0.022629626095294952
tgn,3850,0.006881411653012037,1.0,0.022234834730625153
tgn,3900,0.12638817727565765,0.96875,0.03047291561961174
tgn,3950,0.006647569593042135,1.0,0.026102935895323753
tgn,4000,0.12072156369686127,0.96875,0.02480963058769703
tgn,4050,0.005783089902251959,1.0,0.024540528655052185
tgn,4100,0.002857137704268098,1.0,0.029720088467001915
tgn,4150,0.013980737887322903,1.0,0.026854218915104866
tgn,4200,0.0017448797589167953,1.0,0.026544107124209404
tgn,4250,0.04339703917503357,0.96875,0.02480849251151085
tgn,4300,0.002947400789707899,1.0,0.023635130375623703
tgn,4350,0.004393714014440775,1.0,0.023191556334495544
tgn,4400,0.010758004151284695,1.0,0.022742729634046555
tgn,4450,0.0011125118471682072,1.0,0.022629495710134506
tgn,4500,0.002999073825776577,1.0,0.0225379541516304
tgn,4550,0.011555436067283154,1.0,0.022913314402103424
tgn,4600,0.004453349392861128,1.0,0.02243047207593918
tgn,4650,0.016148148104548454,1.0,0.02142871357500553
tgn,4700,0.007529643829911947,1.0,0.026781117543578148
tgn,4750,0.0061742695979774,1.0,0.024439942091703415
tgn,4800,0.0007049792329780757,1.0,0.023633217439055443
tgn,4850,0.005439947359263897,1.0,0.02283472567796707
tgn,4900,0.17777571082115173,0.96875,0.025324001908302307
tgn,4950,0.002841545268893242,1.0,0.03154820576310158
