step,loss,ppl,gate_rate
0,11.0074,60321.82,0.9570
20,7.4987,1805.73,0.9102
40,7.5136,1832.83,0.8477
60,7.4914,1792.61,0.8242
80,7.5238,1851.53,0.8086
100,7.5269,1857.30,0.7344
120,7.4655,1746.73,0.7305
140,7.4469,1714.52,0.4746
160,7.4890,1788.30,0.5273
180,7.4362,1696.29,0.5352
200,7.4563,1730.76,0.5000
220,7.4816,1775.07,0.5195
240,7.4829,1777.37,0.3809
260,7.5580,1916.00,0.3770
280,7.4653,1746.34,0.3457
300,7.3564,1566.14,0.2734
320,7.4432,1708.24,0.2373
340,7.3708,1588.93,0.2344
360,7.4136,1658.42,0.2832
380,7.4069,1647.32,0.2490
400,7.4103,1652.95,0.1943
420,7.4859,1782.64,0.1318
440,7.3576,1568.00,0.1309
460,7.4140,1659.12,0.1055
480,7.3822,1607.20,0.1079
500,7.3274,1521.45,0.0952
520,7.3031,1484.91,0.0613
540,7.2169,1362.28,0.0859
560,7.3328,1529.70,0.0977
580,7.0790,1186.75,0.1030
600,7.1498,1273.82,0.0913
620,7.1221,1239.01,0.0884
640,7.1338,1253.59,0.0771
660,7.1670,1296.00,0.0933
680,7.1656,1294.12,0.1050
700,7.0027,1099.64,0.1001
720,7.2173,1362.82,0.1021
740,7.0063,1103.54,0.1118
760,6.9200,1012.35,0.1196
780,6.9891,1084.79,0.1035
800,6.9742,1068.71,0.1021
820,6.9403,1033.12,0.1060
840,6.9408,1033.59,0.0972
860,7.0208,1119.63,0.1108
880,6.9570,1050.44,0.1089
900,6.9802,1075.19,0.0757
920,6.9801,1074.98,0.1050
940,6.9528,1046.07,0.0776
960,6.7665,868.28,0.1011
980,6.9144,1006.65,0.1030
1000,6.9186,1010.90,0.0747
1020,6.8049,902.25,0.1172
1040,6.5650,709.81,0.1196
1060,6.9433,1036.21,0.0859
1080,6.7905,889.39,0.1279
1100,6.8077,904.74,0.1235
1120,6.8541,947.80,0.1187
1140,6.6746,792.04,0.1172
1160,6.7482,852.48,0.1055
1180,6.6936,807.22,0.1069
1200,6.8321,927.12,0.1089
1220,6.6851,800.41,0.1299
1240,6.6554,776.95,0.1387
1260,6.5171,676.64,0.1118
1280,6.6636,783.35,0.1196
1300,6.6696,788.12,0.1226
1320,6.5871,725.67,0.1465
1340,6.6803,796.56,0.1133
1360,6.5991,734.45,0.1318
1380,6.5847,723.91,0.1348
1400,6.4524,634.23,0.1396
1420,6.5778,718.96,0.1338
1440,6.6184,748.74,0.1260
1460,6.5360,689.51,0.1299
1480,6.4256,617.44,0.1318
1500,6.5768,718.25,0.1289
1520,6.4445,629.23,0.1416
1540,6.4826,653.65,0.1206
1560,6.5055,668.79,0.1230
1580,6.4259,617.63,0.1196
1600,6.1566,471.82,0.1494
1620,6.4169,612.13,0.1338
1640,6.3587,577.50,0.1338
1660,6.4650,642.25,0.1309
1680,6.4068,605.94,0.1367
1700,6.3431,568.56,0.1396
1720,6.3478,571.23,0.1338
1740,6.3579,577.03,0.1553
1760,6.2703,528.63,0.1592
1780,6.2453,515.61,0.1328
1800,6.2308,508.18,0.1455
1820,6.2889,538.55,0.1680
1840,6.2350,510.31,0.1553
1860,6.1833,484.58,0.1494
1880,6.2414,513.59,0.1602
1900,6.2955,542.12,0.1514
1920,6.1201,454.93,0.1475
1940,6.1781,482.07,0.1533
1960,6.3036,546.56,0.1260
1980,6.0722,433.63,0.1475
2000,6.2077,496.58,0.1436
2020,6.1680,477.23,0.1377
2040,6.3085,549.22,0.1494
2060,6.0975,444.76,0.1484
2080,6.0819,437.88,0.1553
2100,6.2150,500.20,0.1455
2120,6.2906,539.45,0.1455
2140,6.2990,544.02,0.1338
2160,6.1603,473.56,0.1396
2180,6.2059,495.68,0.1475
2200,6.0821,437.96,0.1523
2220,6.0457,422.28,0.1475
2240,6.0761,435.31,0.1445
2260,6.0643,430.22,0.1445
2280,6.1999,492.68,0.1309
2300,6.0683,431.96,0.1396
2320,5.9098,368.61,0.1455
2340,6.0889,440.92,0.1367
2360,6.0910,441.84,0.1177
2380,6.0664,431.15,0.1260
2400,5.9266,374.87,0.1533
2420,5.7983,329.74,0.1436
2440,6.1518,469.57,0.1099
2460,6.0454,422.15,0.1328
2480,5.8585,350.21,0.1357
2500,5.9588,387.14,0.1357
2520,5.9939,400.98,0.1670
2540,5.9184,371.82,0.1455
2560,6.0619,429.20,0.1377
2580,6.0262,414.14,0.1338
2600,6.0220,412.40,0.1436
2620,6.0566,426.90,0.1348
2640,5.9341,377.70,0.1377
2660,5.8386,343.30,0.1348
2680,5.7241,306.14,0.1553
2700,6.1543,470.75,0.1436
2720,5.9946,401.26,0.1465
2740,6.0988,445.33,0.1299
2760,5.9321,376.93,0.1270
2780,5.9189,371.99,0.1299
2800,5.8627,351.69,0.1309
2820,5.9016,365.62,0.1436
2840,5.8291,340.04,0.1338
2860,5.8686,353.76,0.1348
2880,5.7845,325.22,0.1406
2900,5.8362,342.48,0.1426
2920,5.7624,318.10,0.1406
2940,5.6857,294.64,0.1367
2960,5.8920,362.11,0.1260
2980,5.6980,298.28,0.1396
3000,5.9047,366.77,0.1260
3020,5.9579,386.80,0.1260
3040,5.9140,370.18,0.1377
3060,5.8413,344.22,0.1318
3080,5.5508,257.44,0.1455
3100,5.8080,332.94,0.1338
3120,5.9897,399.29,0.1309
3140,5.8062,332.37,0.1338
3160,5.9068,367.53,0.1211
3180,5.7653,319.03,0.1338
3200,5.9546,385.50,0.1289
3220,5.8863,360.07,0.1348
3240,5.8946,363.08,0.1328
3260,5.8559,349.29,0.1357
3280,5.6848,294.36,0.1377
