step,loss,ppl,gate_rate
0,10.9960,59635.03,0.1250
20,6.4208,614.48,0.1250
40,6.3565,576.23,0.1250
60,6.4978,663.69,0.1250
80,6.4112,608.62,0.1250
100,6.6261,754.54,0.1250
120,6.3056,547.61,0.1250
140,6.3310,561.71,0.1250
160,6.2672,527.00,0.1250
180,6.3553,575.56,0.1250
200,6.4285,619.27,0.1250
220,6.4377,624.98,0.1250
240,6.4146,610.72,0.1250
260,6.4090,607.31,0.1250
280,6.2339,509.75,0.1250
300,6.3093,549.68,0.1250
320,6.2139,499.66,0.1250
340,6.3229,557.21,0.1250
360,6.4334,622.30,0.1250
380,6.3203,555.74,0.1250
400,6.3681,582.95,0.1250
420,6.2514,518.72,0.1250
440,6.4452,629.70,0.1250
460,6.2770,532.21,0.1250
480,6.3697,583.86,0.1250
500,6.3491,571.96,0.1250
520,6.4971,663.20,0.1250
540,6.2780,532.72,0.1250
560,6.3115,550.85,0.1250
580,6.2944,541.53,0.1250
600,6.3144,552.46,0.1250
620,6.3716,584.96,0.1250
640,6.3344,563.62,0.1250
660,6.3829,591.63,0.1250
680,6.3064,548.04,0.1250
700,6.5552,702.92,0.1250
720,6.3882,594.81,0.1250
740,6.3887,595.11,0.1250
760,6.4047,604.67,0.1250
780,6.3840,592.29,0.1250
800,6.2362,510.93,0.1250
820,6.2170,501.20,0.1250
840,6.1309,459.87,0.1250
860,5.8258,338.92,0.1250
880,5.7458,312.87,0.1250
900,5.8695,354.08,0.1250
920,5.7765,322.62,0.1250
940,5.6366,280.51,0.1250
960,5.5869,266.90,0.1250
980,5.5769,264.25,0.1250
